3/16/2019,8.07,PURCHASE AUTHORIZED ON 03/30 SCENIC BROOK FO AUSTIN TX P00000000777530971
3/17/2019,29.47,PURCHASE AUTHORIZED ON 03/30 WHOLEFDS BEE #10 12601 HI AUSTIN TX P00469089582739269 
3/18/2019,23.5,PURCHASE AUTHORIZED ON 03/29 TIFF'S TREATS 5124732600 TX S389089160935329
3/19/2019,8.77,PURCHASE AUTHORIZED ON 03/29 STARBUCKS STORE 06 AUSTIN TX S469088472391071
3/20/2019,3.18,PURCHASE AUTHORIZED ON 03/29 CHEVRON/BROADDUS PETROL AUSTIN TX P00389088844784998
3/21/2019,24,PURCHASE AUTHORIZED ON 03/24 SPORT CLIPS - TX10 AUSTIN TX S469083653372171
3/25/2019,3.64,PURCHASE AUTHORIZED ON 03/25 SHELL Service Station AUSTIN TX P00389084622628196
3/25/2019,5.31,PURCHASE AUTHORIZED ON 03/23 SHELL Service Station BUDA TX P00389082855591145
3/25/2019,5.93,PURCHASE AUTHORIZED ON 03/22 ARAMARK POD AT PAS SAN ANTONIO TX S589081574126127 
3/25/2019,8.5,PURCHASE AUTHORIZED ON 03/22 STARBUCKS STORE 06 AUSTIN TX S309081462561171
5/1/2019,8.77,PURCHASE AUTHORIZED ON 03/21 STARBUCKS STORE 06 AUSTIN TX S309080457555220
5/2/2019,5.96,PURCHASE AUTHORIZED ON 03/22 HWY 71 LTD AUSTIN TX P00000000789718109
5/3/2019,8.77,PURCHASE AUTHORIZED ON 03/20 STARBUCKS STORE 06 AUSTIN TX S309079461434882
3/21/2019,6.76,PURCHASE AUTHORIZED ON 03/21 SHELL Service Station AUSTIN TX P00389080860880568
3/20/2019,7.59,PURCHASE AUTHORIZED ON 03/19 SNAP KITCHEN # 6 W AUSTIN TX S309078466285040
3/20/2019,4.34,PURCHASE AUTHORIZED ON 03/18 ARAMARK POD AT BUS SAN ANTONIO TX S589077627858268 
